model	field	ref_count
Tenant	id	8922
Tenant	name	4672
Tenant	slug	1154
Tenant	plan	279
Tenant	planExpiresAt	32
Tenant	isActive	524
Tenant	isTrial	28
Tenant	trialEndsAt	37
Tenant	subscriptionStatus	79
Tenant	settings	306
Tenant	customMaxUsers	23
Tenant	customMaxProducts	20
Tenant	customMaxLocations	20
Tenant	customMaxMembers	19
Tenant	customMaxCustomers	20
Tenant	createdAt	643
Tenant	updatedAt	216
Tenant	users	265
Tenant	passwordResetRequests	0
Tenant	categories	362
Tenant	products	1105
Tenant	discountTypes	22
Tenant	vendors	99
Tenant	locations	280
Tenant	transfers	123
Tenant	members	218
Tenant	sales	521
Tenant	promoCodes	10
Tenant	auditLogs	35
Tenant	errorReports	0
Tenant	subscriptions	15
Tenant	payments	161
Tenant	attributeTypes	27
Tenant	productVariations	30
Tenant	productTags	0
Tenant	companies	81
Tenant	contactTags	0
Tenant	contacts	168
Tenant	leads	78
Tenant	pipelines	134
Tenant	pipelineWorkflows	0
Tenant	workflowRuns	0
Tenant	automationDefinitions	0
Tenant	automationEvents	0
Tenant	automationRuns	0
Tenant	automationDelayedRuns	0
Tenant	workItems	0
Tenant	inventorySignals	0
Tenant	deals	181
Tenant	tasks	122
Tenant	activities	71
Tenant	crmSources	0
Tenant	crmJourneyTypes	0
Tenant	remarketingSequences	0
Tenant	messagingChannels	0
Tenant	conversations	52
Tenant	mediaAssets	0
Tenant	domains	145
Tenant	siteConfig	132
Tenant	publicApiKeys	0
Tenant	blogPosts	0
Tenant	blogCategories	0
Tenant	tenantPages	0
Tenant	siteLayouts	0
Tenant	navMenus	2
Tenant	siteSnippets	0
Tenant	blockComments	0
Tenant	collections	90
Tenant	websiteOrders	0
Tenant	abandonedCarts	0
Tenant	formSubmissions	0
Tenant	pageTranslations	0
Tenant	productReviews	0
Tenant	bundles	80
Tenant	giftCards	4
Tenant	rbacRoles	0
Tenant	userRoles	6
Tenant	resources	43
Tenant	permissionOverwrites	0
Tenant	businessProfile	35
Tenant	tenantRedirects	0
TenantDomain	id	8922
TenantDomain	tenantId	4863
TenantDomain	hostname	209
TenantDomain	appType	137
TenantDomain	isPrimary	110
TenantDomain	verifyToken	25
TenantDomain	verifiedAt	65
TenantDomain	tlsStatus	6
TenantDomain	tlsLastError	6
TenantDomain	createdAt	643
TenantDomain	updatedAt	216
TenantDomain	tenant	1732
TenantDomain	publicApiKeys	0
TenantApiKey	id	8922
TenantApiKey	tenantId	4863
TenantApiKey	tenantDomainId	46
TenantApiKey	name	4672
TenantApiKey	prefix	104
TenantApiKey	hash	44
TenantApiKey	last4	20
TenantApiKey	scopes	47
TenantApiKey	rateLimitPerMin	34
TenantApiKey	createdAt	643
TenantApiKey	lastUsedAt	13
TenantApiKey	revokedAt	30
TenantApiKey	tenant	1732
TenantApiKey	tenantDomain	50
SiteConfig	id	8922
SiteConfig	tenantId	4863
SiteConfig	websiteEnabled	139
SiteConfig	templateId	44
SiteConfig	branding	192
SiteConfig	contact	803
SiteConfig	features	668
SiteConfig	seo	88
SiteConfig	themeTokens	33
SiteConfig	locales	15
SiteConfig	defaultLocale	9
SiteConfig	currency	143
SiteConfig	analytics	427
SiteConfig	isPublished	130
SiteConfig	createdAt	643
SiteConfig	updatedAt	216
SiteConfig	tenant	1732
SiteConfig	template	523
SiteTemplate	id	8922
SiteTemplate	slug	1154
SiteTemplate	name	4672
SiteTemplate	description	2284
SiteTemplate	category	915
SiteTemplate	previewImageUrl	21
SiteTemplate	defaultBranding	34
SiteTemplate	defaultSections	27
SiteTemplate	defaultPages	20
SiteTemplate	isActive	524
SiteTemplate	sortOrder	356
SiteTemplate	createdAt	643
SiteTemplate	updatedAt	216
SiteTemplate	siteConfigs	3
BlogCategory	id	8922
BlogCategory	tenantId	4863
BlogCategory	slug	1154
BlogCategory	name	4672
BlogCategory	description	2284
BlogCategory	sortOrder	356
BlogCategory	createdAt	643
BlogCategory	updatedAt	216
BlogCategory	tenant	1732
BlogCategory	posts	207
BlogPost	id	8922
BlogPost	tenantId	4863
BlogPost	slug	1154
BlogPost	title	1693
BlogPost	excerpt	54
BlogPost	bodyMarkdown	136
BlogPost	body	1479
BlogPost	scheduledPublishAt	51
BlogPost	heroImageUrl	47
BlogPost	coverImageUrl	44
BlogPost	icon	426
BlogPost	authorName	46
BlogPost	status	2975
BlogPost	reviewStatus	47
BlogPost	publishedAt	50
BlogPost	categoryId	388
BlogPost	tags	665
BlogPost	seoTitle	72
BlogPost	seoDescription	73
BlogPost	readingMinutes	25
BlogPost	createdAt	643
BlogPost	updatedAt	216
BlogPost	tenant	1732
BlogPost	category	915
BlogPost	versions	50
BlogPostVersion	id	8922
BlogPostVersion	blogPostId	9
BlogPostVersion	tenantId	4863
BlogPostVersion	snapshot	70
BlogPostVersion	editorId	47
BlogPostVersion	note	94
BlogPostVersion	createdAt	643
BlogPostVersion	blogPost	25
TenantPage	id	8922
TenantPage	tenantId	4863
TenantPage	slug	1154
TenantPage	title	1693
TenantPage	bodyMarkdown	136
TenantPage	body	1479
TenantPage	scheduledPublishAt	51
TenantPage	layoutVariant	44
TenantPage	showInNav	32
TenantPage	navOrder	46
TenantPage	isPublished	130
TenantPage	reviewStatus	47
TenantPage	coverImageUrl	44
TenantPage	icon	426
TenantPage	isLandingPage	4
TenantPage	parentId	50
TenantPage	seoTitle	72
